"iso3c_producing","diet","fcr_type","source_ingredient","FAOSTAT_name","FAO_code","total_crop_demand_ms","total_crop_demand_ge","total_crop_demand_econ"
"AUS","fish-dominant","efficient","wheat gluten","Wheat",15,7190.68590661358,8011.93509923733,18368.9814016267
"AUS","fish-dominant","regular","corn gluten meal","Maize (corn)",56,2474.38434782714,3115.31264157566,1309.40956231686
"AUS","fish-dominant","regular","faba beans","Broad beans and horse beans, dry",181,1984.8546341398,1984.8546341398,1984.8546341398
"AUS","fish-dominant","regular","wheat","Wheat",15,5417.43066644942,5417.43066644942,5417.43066644942
"AUS","fish-dominant","regular","wheat gluten","Wheat",15,10060.9426662632,11210.0042646989,25701.2016822269
"AUS","plant-dominant","efficient","canola oil","Rape or colza seed",270,14489.2219846123,22834.2634134826,24280.9127628133
"AUS","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,52.3861092859828,106.533153773914,188.789895530068
"AUS","plant-dominant","efficient","corn gluten meal","Maize (corn)",56,309.312662322642,389.432485692584,163.68393137736
"AUS","plant-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,2586.98549062621,2586.98549062621,2586.98549062621
"AUS","plant-dominant","efficient","guar meal","Other pulses n.e.c.",211,3090.01044713686,3292.37079866453,1385.17709699239
"AUS","plant-dominant","efficient","linseed oil","Linseed",333,697.528982432147,1125.35579460446,1021.80395731586
"AUS","plant-dominant","efficient","pea flour","Peas, dry; Peas, green",187,2113.55023743971,2113.55023743971,2113.55023743971
"AUS","plant-dominant","efficient","pea protein concentrate","Peas, dry; Peas, green",187,1212.10832894133,1504.15391927322,2596.29971585684
"AUS","plant-dominant","efficient","wheat","Wheat",15,3595.34295330679,3595.34295330679,3595.34295330679
"AUS","plant-dominant","efficient","wheat gluten","Wheat",15,5420.67091421639,6039.76645942507,13847.3859796879
"AUS","plant-dominant","regular","canola oil","Rape or colza seed",270,19864.9707487966,31306.1650419105,33289.5460018226
"AUS","plant-dominant","regular","coconut oil","Coconuts, in shell",249,73.1885553602771,148.837310671845,263.758082224298
"AUS","plant-dominant","regular","corn gluten meal","Maize (corn)",56,433.01726086975,545.17971227574,229.14667340545
"AUS","plant-dominant","regular","faba beans","Broad beans and horse beans, dry",181,3572.73834145164,3572.73834145164,3572.73834145164
"AUS","plant-dominant","regular","guar meal","Other pulses n.e.c.",211,4267.43746340057,4546.90582119084,1912.98920773129
"AUS","plant-dominant","regular","linseed oil","Linseed",333,974.516703797145,1572.23290670024,1427.56078885538
"AUS","plant-dominant","regular","pea flour","Peas, dry; Peas, green",187,2918.903873735,2918.903873735,2918.903873735
"AUS","plant-dominant","regular","pea protein concentrate","Peas, dry; Peas, green",187,1673.97378782875,2077.30132167512,3585.60168750557
"AUS","plant-dominant","regular","wheat","Wheat",15,5030.47133313161,5030.47133313161,5030.47133313161
"AUS","plant-dominant","regular","wheat gluten","Wheat",15,7584.40293302919,8450.61859954227,19374.752037371
"AUT","fish-dominant","efficient","corn gluten meal","Maize (corn)",56,1.55596402508944,1.95899816512124,0.823394382874373
"AUT","fish-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,0.640135077589731,0.640135077589731,0.640135077589731
"AUT","fish-dominant","efficient","soybean meal","Soya beans",236,525.908566851132,397.555950999767,443.906304915468
"AUT","fish-dominant","efficient","wheat","Wheat",15,41.5737653893706,41.5737653893706,41.5737653893706
"AUT","fish-dominant","efficient","wheat gluten","Wheat",15,77.2084214374026,86.0264055063359,197.232931023756
"AUT","fish-dominant","regular","corn gluten meal","Maize (corn)",56,1.91752827531815,2.41421672503027,1.01472912319357
"AUT","fish-dominant","regular","faba beans","Broad beans and horse beans, dry",181,0.817088286501809,0.817088286501809,0.817088286501809
"AUT","fish-dominant","regular","soybean meal","Soya beans",236,729.30379150508,551.310780380595,615.587141290099
"AUT","fish-dominant","regular","wheat","Wheat",15,41.8090000018219,41.8090000018219,41.8090000018219
