"iso3c_producing","diet","fcr_type","source_ingredient","FAOSTAT_name","FAO_code","total_crop_demand_ms","total_crop_demand_ge","total_crop_demand_econ"
"ARG","plant-dominant","regular","soy oil","Soya beans",236,2488.37976489074,4217.36817407927,4115.01528400042
"ARG","plant-dominant","regular","soy protein concentrate","Soya beans",236,157364.164798029,135680.358564725,138144.811407445
"ARG","plant-dominant","regular","sunflower meal","Sunflower seed",267,28003.7784414136,15010.7681847553,11615.5814972253
"ARG","plant-dominant","regular","wheat","Wheat",15,10558.2934614187,10558.2934614187,10558.2934614187
"ARG","plant-dominant","regular","wheat gluten","Wheat",15,15918.657834139,17736.729860052,40665.0399547028
"ARM","fish-dominant","efficient","corn gluten meal","Maize (corn)",56,0.00000106922534567737,0.00000134618182458472,0.000000565819086727951
"ARM","fish-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,0.00146850973860874,0.00146850973860874,0.00146850973860874
"ARM","fish-dominant","efficient","wheat","Wheat",15,0.00205050116376293,0.00205050116376293,0.00205050116376293
"ARM","fish-dominant","efficient","wheat gluten","Wheat",15,0.00380807358984544,0.00424299418041609,0.00972792218382957
"ARM","fish-dominant","regular","corn gluten meal","Maize (corn)",56,0.00000118802816186374,0.00000149575758287191,0.000000628687874142167
"ARM","fish-dominant","regular","faba beans","Broad beans and horse beans, dry",181,0.00163167748734304,0.00163167748734304,0.00163167748734304
"ARM","fish-dominant","regular","wheat","Wheat",15,0.00227833462640325,0.00227833462640325,0.00227833462640325
"ARM","fish-dominant","regular","wheat gluten","Wheat",15,0.00423119287760604,0.0047144379782401,0.0108088024264773
"ARM","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,0.00010785389309284,0.000219333245674904,0.000388685578811572
"ARM","plant-dominant","efficient","corn gluten meal","Maize (corn)",56,0.000000187114435493539,0.000000235581819302325,0.0000000990183401773914
"ARM","plant-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,0.00264331752949573,0.00264331752949573,0.00264331752949573
"ARM","plant-dominant","efficient","guar meal","Other pulses n.e.c.",211,0.00315729593800879,0.00336406271981186,0.00141533955841773
"ARM","plant-dominant","efficient","linseed oil","Linseed",333,0.00143609092803012,0.00231691196801963,0.00210371673476568
"ARM","plant-dominant","efficient","pea flour","Peas, dry; Peas, green",187,0.00215957314501285,0.00215957314501285,0.00215957314501285
"ARM","plant-dominant","efficient","pea protein concentrate","Peas, dry; Peas, green",187,0.00123850218918809,0.00153690712077097,0.00265283457352826
"ARM","plant-dominant","efficient","sunflower meal","Sunflower seed",267,0.00393059798187677,0.00210690479703856,0.00163035789212644
"ARM","plant-dominant","efficient","wheat","Wheat",15,0.00190403679492272,0.00190403679492272,0.00190403679492272
"ARM","plant-dominant","efficient","wheat gluten","Wheat",15,0.0028707016292681,0.00319856484369828,0.0073333567231946
"ARM","plant-dominant","regular","coconut oil","Coconuts, in shell",249,0.000119837658992045,0.000243703606305449,0.000431872865346191
"ARM","plant-dominant","regular","corn gluten meal","Maize (corn)",56,0.000000207904928326155,0.000000261757577002584,0.000000110020377974879
"ARM","plant-dominant","regular","faba beans","Broad beans and horse beans, dry",181,0.00293701947721748,0.00293701947721748,0.00293701947721748
"ARM","plant-dominant","regular","guar meal","Other pulses n.e.c.",211,0.00350810659778754,0.00373784746645762,0.00157259950935304
"ARM","plant-dominant","regular","linseed oil","Linseed",333,0.00159565658670014,0.00257434663113292,0.00233746303862853
"ARM","plant-dominant","regular","pea flour","Peas, dry; Peas, green",187,0.00239952571668095,0.00239952571668095,0.00239952571668095
"ARM","plant-dominant","regular","pea protein concentrate","Peas, dry; Peas, green",187,0.00137611354354233,0.00170767457863441,0.00294759397058696
"ARM","plant-dominant","regular","sunflower meal","Sunflower seed",267,0.00436733109097419,0.00234100533004284,0.00181150876902938
"ARM","plant-dominant","regular","wheat","Wheat",15,0.00211559643880302,0.00211559643880302,0.00211559643880302
"ARM","plant-dominant","regular","wheat gluten","Wheat",15,0.00318966847696456,0.00355396093744254,0.00814817413688289
"ATG","fish-dominant","efficient","corn gluten meal","Maize (corn)",56,0.00000000533774445769834,0.0000000067203556315616,0.00000000282465965332006
