"iso3c_consuming","iso3c_producing","GAEZ_category","prop_of_supply","animal_system","diet","source_ingredient","consuming_ingredient_consumed_tonnes","raw_material","FAOSTAT_name","FAO_code","map_spam_code","producing_ingredient_consumed_tonnes"
"AUS","CHN","Pulses",0.000158067367437249,"salmon_aquaculture_meat","fish-dominant","faba beans",1873.71772,"faba beans","Broad beans and horse beans, dry",181,"opul",0.296173627320924
"AUS","CHN","Pulses",0.000158067367437249,"salmon_aquaculture_meat","fish-dominant","guar meal",0,"guar","Other pulses n.e.c.",211,"opul",0
"AUS","CHN","Pulses",0.000158067367437249,"salmon_aquaculture_meat","fish-dominant","pea flour",0,"peas","Peas, dry; Peas, green",187,"opul",0
"AUS","CHN","Pulses",0.000158067367437249,"salmon_aquaculture_meat","fish-dominant","pea protein concentrate",0,"peas","Peas, dry; Peas, green",187,"opul",0
"AUS","CHN","Rapeseed",0.00000181889009871065,"salmon_aquaculture_meat","plant-dominant","canola oil",17238.203024,"rapeseed","Rape or colza seed",270,"rape",0.0313543967999175
"AUS","CHN","Rapeseed",0.00000181889009871065,"salmon_aquaculture_meat","fish-dominant","canola oil",0,"rapeseed","Rape or colza seed",270,"rape",0
"AUS","CHN","Soybean",0.747727986305553,"salmon_aquaculture_meat","plant-dominant","soy oil",374.743544,"soybean","Soya beans",236,"soyb",280.206235536126
"AUS","CHN","Soybean",0.747727986305553,"salmon_aquaculture_meat","plant-dominant","soy protein concentrate",19580.350174,"soybean","Soya beans",236,"soyb",14640.7758067626
"AUS","CHN","Soybean",0.747727986305553,"salmon_aquaculture_meat","fish-dominant","soy oil",0,"soybean","Soya beans",236,"soyb",0
"AUS","CHN","Soybean",0.747727986305553,"salmon_aquaculture_meat","fish-dominant","soy protein concentrate",0,"soybean","Soya beans",236,"soyb",0
"AUS","CHN","Soybean",0.747727986305553,"salmon_aquaculture_meat","fish-dominant","soybean meal",15926.60062,"soybean","Soya beans",236,"soyb",11908.7650102854
"AUS","CHN","Sunflower",0.0900826340510309,"salmon_aquaculture_meat","plant-dominant","sunflower meal",3185.320124,"sunflower","Sunflower seed",267,"sunf",286.942027065676
"AUS","CHN","Sunflower",0.0900826340510309,"salmon_aquaculture_meat","fish-dominant","sunflower meal",0,"sunflower","Sunflower seed",267,"sunf",0
"AUS","COL","CropsNES",0.00000382883112783374,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.000358707436555483
"AUS","COL","CropsNES",0.00000382883112783374,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",0.00466319667522128
"AUS","COL","CropsNES",0.00000382883112783374,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","COL","CropsNES",0.00000382883112783374,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","CYP","CropsNES",0.00000431159679177799,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.000403935765512478
"AUS","CYP","CropsNES",0.00000431159679177799,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",0.00525116495166222
"AUS","CYP","CropsNES",0.00000431159679177799,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","CYP","CropsNES",0.00000431159679177799,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","DNK","CropsNES",0.00000364571311737212,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.000341551863502829
"AUS","DNK","CropsNES",0.00000364571311737212,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",0.00444017422553678
"AUS","DNK","CropsNES",0.00000364571311737212,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","DNK","CropsNES",0.00000364571311737212,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","ECU","CropsNES",0.000110936220156017,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.0103931580748076
