"iso3c","animal_system","source_ingredient","ingredient_demand","source","product","included_source","ext_rate","crop","crop_loss","tonnes_product"
"PRK","salmon_aquaculture_meat","pea flour",1.95,"salmon","pea other","mapspam",63,"pea",12,2.21590909090909
"PRK","salmon_aquaculture_meat","pea protein",1.092,"salmon","pea protein","mapspam",25,"pea",12,1.24090909090909
"PRK","salmon_aquaculture_meat","rapeseed and camelina oil",14.352,"salmon","oil of rapeseed","mapspam",38,"rapeseed",2,14.6448979591837
"PRK","salmon_aquaculture_meat","soy protein concentrate",16.302,"salmon","soy protein concentrate","mapspam",33,"soybean",12,18.525
"PRK","salmon_aquaculture_meat","soybean oil",0.312,"salmon","oil of soya bean","mapspam",18,"soybean",3,0.321649484536082
"PRK","salmon_aquaculture_meat","sunflower",2.652,"salmon","cake of sunflower seed","mapspam",47,"sunflower seed",12,3.01363636363636
"PRK","salmon_aquaculture_meat","wheat",5.07,"salmon","wheat","mapspam",100,"wheat",0,5.07
"PRK","salmon_aquaculture_meat","wheat gluten",7.644,"salmon","wheat gluten","mapspam",15,"wheat",1,7.72121212121212
"NOR","salmon_aquaculture_meat","coconut oil",1804.963992,"salmon","oil of coconuts","mapspam",13,"coconut",79,8595.06662857143
"NOR","salmon_aquaculture_meat","corn gluten",12634.747944,"salmon","maize gluten","mapspam",10,"maize",16,15041.3666
"NOR","salmon_aquaculture_meat","faba beans",64978.703712,"salmon","faba bean","mapspam",100,"faba bean",0,64978.703712
"NOR","salmon_aquaculture_meat","guar protein",77613.451656,"salmon","guar protein","mapspam",25,"pea",12,88197.1041545455
"NOR","salmon_aquaculture_meat","linseed oil",23464.531896,"salmon","oil of linseed","mapspam",35,"linseed",2,23943.3998938776
"NOR","salmon_aquaculture_meat","pea flour",45124.0998,"salmon","pea other","mapspam",63,"pea",12,51277.3861363636
"NOR","salmon_aquaculture_meat","pea protein",25269.495888,"salmon","pea protein","mapspam",25,"pea",12,28715.3362363636
"NOR","salmon_aquaculture_meat","rapeseed and camelina oil",332113.374528,"salmon","oil of rapeseed","mapspam",38,"rapeseed",2,338891.198497959
"NOR","salmon_aquaculture_meat","soy protein concentrate",377237.474328,"salmon","soy protein concentrate","mapspam",33,"soybean",12,428678.9481
"NOR","salmon_aquaculture_meat","soybean oil",7219.855968,"salmon","oil of soya bean","mapspam",18,"soybean",3,7443.15048247423
"NOR","salmon_aquaculture_meat","sunflower",61368.775728,"salmon","cake of sunflower seed","mapspam",47,"sunflower seed",12,69737.2451454546
"NOR","salmon_aquaculture_meat","wheat",117322.65948,"salmon","wheat","mapspam",100,"wheat",0,117322.65948
"NOR","salmon_aquaculture_meat","wheat gluten",176886.471216,"salmon","wheat gluten","mapspam",15,"wheat",1,178673.203248485
"RUS","salmon_aquaculture_meat","coconut oil",14.1115,"salmon","oil of coconuts","mapspam",13,"coconut",79,67.197619047619
"RUS","salmon_aquaculture_meat","corn gluten",98.7805,"salmon","maize gluten","mapspam",10,"maize",16,117.595833333333
"RUS","salmon_aquaculture_meat","faba beans",508.014,"salmon","faba bean","mapspam",100,"faba bean",0,508.014
