iso3c_producing,SPAM_super,tonnes_producing_crop
BHR,ocer,0
BHR,ofib,0
BHR,oilp,0
BHR,ooil,0
BHR,opul,8.91104156523943
BHR,orts,0
BHR,othr,0
BHR,plnt,0
BHR,pota,61.355817437171936
BHR,rape,0
BHR,rice,0
BHR,sorg,0
BHR,soyb,0
BHR,spis,0
BHR,sugb,0
BHR,sugc,0
BHR,sunf,0
BHR,swpo,0
BHR,teas,0
BHR,tnut,158.8454818725586
BHR,toba,0
BHR,vege,17344.323684692383
BHR,whea,0
BHR,xcof,0
BHR,xfru,20457.6932182312
BHR,xmil,0
BHR,xoil,0
BHR,xpul,0
BHR,yams,0
BHS,bana,10074.337997436523
BHS,barl,0
BHS,cass,836.1921052932739
BHS,cnut,2760.5718383789062
BHS,coco,0
BHS,maiz,666.9771828651428
BHS,ocer,0
BHS,ofib,0
BHS,oilp,0
BHS,ooil,0
BHS,opul,0
BHS,orts,0
BHS,othr,0
BHS,plnt,187.95621156692505
BHS,pota,0
BHS,rape,0
BHS,rice,0
BHS,sorg,0
BHS,soyb,0
BHS,spis,0
BHS,sugb,0
BHS,sugc,61616.15832519531
BHS,sunf,0
BHS,swpo,1769.1385231018066
BHS,teas,0
BHS,tnut,0
BHS,toba,0
BHS,vege,33447.083587646484
BHS,whea,0
BHS,xcof,0
BHS,xfru,37981.735595703125
BHS,xmil,0
BHS,xoil,0
BHS,xpul,181.14115023612976
BHS,yams,0
BIH,bana,0
BIH,barl,86474.35485416651
BIH,cass,0
BIH,cnut,0
BIH,coco,0
BIH,maiz,1223836.2802279592
BIH,ocer,103741.43683883548
BIH,ofib,0
BIH,oilp,0
BIH,ooil,2858.9986062943935
BIH,opul,7410.344515115023
BIH,orts,0
BIH,othr,0
BIH,plnt,0
BIH,pota,388837.9550168514
BIH,rape,10033.821314305067
BIH,rice,0
BIH,sorg,20.19999960064888
BIH,soyb,36970.41351047158
BIH,spis,28757.397995084524
BIH,sugb,40972.86643743515
BIH,sugc,0
BIH,sunf,5413.161827713251
BIH,swpo,0
BIH,teas,0
BIH,tnut,3358.379960125312
BIH,toba,1431.717980518937
BIH,vege,797176.2420277596
BIH,whea,317486.7641403973
BIH,xcof,0
BIH,xfru,391801.8856139779
BIH,xmil,2.2000000327825546
BIH,xoil,0
BIH,xpul,16790.77162346244
BIH,yams,0
BLM,bana,0
BLM,barl,0
BLM,cass,0
BLM,cnut,0
BLM,coco,0
BLM,maiz,0
BLM,ocer,0
BLM,ofib,0
BLM,oilp,0
BLM,ooil,0
BLM,opul,0
BLM,orts,0
BLM,othr,0
BLM,plnt,0
BLM,pota,0
BLM,rape,0
BLM,rice,0
BLM,sorg,0
BLM,soyb,0
BLM,spis,0
BLM,sugb,0
BLM,sugc,0
BLM,sunf,0
BLM,swpo,0
BLM,teas,0
BLM,tnut,0
BLM,toba,0
BLM,vege,0
BLM,whea,0
BLM,xcof,0
BLM,xfru,0
BLM,xmil,0
BLM,xoil,0
BLM,xpul,0
BLM,yams,0
BLR,bana,0
BLR,barl,1180702.0547775775
BLR,cass,0
BLR,cnut,0
BLR,coco,0
