SPAM_short_name,iso3c,2021,2010,coef
cnut,KNA,3530.62,1165,3.030575107296137
cnut,LBR,8429.81,9976,0.8450090216519647
cnut,LCA,9450.71,13140,0.719232115677321
cnut,LKA,2496000,1990440,1.253994091758606
cnut,MDG,54004.94,78100,0.6914845070422535
cnut,MDV,413.82,4260,0.09714084507042253
cnut,MEX,1120092.66,1698100,0.6596152523408515
cnut,MHL,22901.12,27200,0.8419529411764706
cnut,MMR,1238306.91,1077137.5,1.1496275173782362
cnut,MOZ,246330.12,278488.82,0.8845242692327828
cnut,MUS,1146.29,1500,0.7641933333333333
cnut,MYS,568894.25,550140,1.0340899589195478
cnut,NCL,18138.67,17000,1.066980588235294
cnut,NGA,224184.26,263815,0.8497782916058602
cnut,NIC,6856.23,6030,1.1370199004975123
cnut,NIU,2601.8,2400,1.0840833333333335
cnut,NPL,4573,354,12.918079096045197
cnut,NRU,2408.8,2531.39,0.9515720611995783
cnut,PAK,12290,9920,1.2389112903225807
cnut,PAN,19624.23,15492,1.2667331525948877
cnut,PER,38295.47,26654,1.4367625872289338
cnut,PHL,14717293.91,15510283,0.948873331969507
cnut,PNG,1813553.34,1210000,1.4988044132231406
cnut,PRI,438.66,2804.25,0.15642685209949186
cnut,PYF,83895.14,81540,1.0288832474858964
cnut,SEN,3924.32,4340,0.9042211981566821
cnut,SGP,114.41,133.73,0.855529798848426
cnut,SLB,125343.1,120000,1.0445258333333334
cnut,SLE,6320.77,4200,1.5049452380952382
cnut,SLV,62229.86,54690,1.137865423294935
cnut,SOM,14682.82,11090,1.3239693417493237
cnut,STP,2594.55,25945,0.10000192715359414
cnut,SUR,9348,8709,1.0733723734068206
cnut,SYC,4014.28,2396.92,1.6747659496353655
cnut,TGO,10881.73,13850,0.785684476534296
cnut,THA,797699.7,1298147,0.6144910399207485
cnut,TKL,4853.08,4100.97,1.183398074114173
cnut,TLS,31015.52,8940,3.4692975391498884
cnut,TON,57812.74,138000,0.41893289855072463
cnut,TTO,15562.3,16635,0.9355154794108806
cnut,TUV,2071.59,1570,1.319484076433121
cnut,TWN,17169,32997,0.5203200290935539
cnut,TZA,458925,570000,0.8051315789473684
cnut,VCT,2778.28,2000,1.38914
cnut,VEN,185930.7,180851,1.0280877628545046
cnut,VNM,1866181,1162200,1.6057313715367407
cnut,VUT,355239.4,385000,0.9226997402597403
cnut,WSM,60269.44,170000,0.3545261176470588
coco,AGO,440.66,354.29,1.2437833413305484
coco,BEN,0,100,0
coco,BLZ,174,26,6.6923076923076925
coco,BOL,5883.99,4449.75,1.3223192314174954
coco,BRA,302157,235389,1.2836496182914239
coco,CAF,128.97,120.65,1.0689598010774968
coco,CIV,2200000,1301347,1.6905560161893791
coco,CMR,290000,264077,1.0981645504909552
coco,COD,30542.28,5431,5.623693610753084
coco,COG,18000,1200,15
coco,COL,65164,39534,1.6483027267668335
coco,COM,42.51,35.62,1.1934306569343065
coco,CRI,800,665,1.2030075187969924
coco,CUB,1472,1709,0.8613224107665302
coco,DMA,1000,800,1.25
coco,DOM,70630.86,58334,1.2108009051325128
coco,ECU,302093.9,132099,2.2868749952687
coco,FJI,80.34,4,20.085
coco,FSM,31.27,32.78,0.9539353264185478
coco,GAB,63.19,100,0.6319
coco,GHA,822000,632037.4,1.300555948113197
coco,GIN,23300,15160,1.536939313984169
coco,GNQ,600,1200,0.5
coco,GRD,703,500,1.406
coco,GTM,11640.35,10713,1.0865630542331748
coco,GUY,479.84,387.08,1.2396403844166581
coco,HND,1000,1126,0.8880994671403197
coco,HTI,2000,9353.49,0.21382393096052918
coco,IDN,728046,844626,0.8619744123434514
coco,IND,27000,12900,2.0930232558139537
coco,JAM,311,1368,0.2273391812865497
coco,LBR,15000,6700,2.2388059701492535
coco,LCA,33,57,0.5789473684210527
coco,LKA,1348.6,1730,0.7795375722543352
coco,MDG,11000,10000,1.1
coco,MEX,28105.84,50113.84,0.5608398797617584
coco,MYS,537,15654,0.034304331161364505
coco,NGA,280000,399200,0.7014028056112225
coco,NIC,8015,1900,4.218421052631579
coco,PAN,1000,611,1.6366612111292962
coco,PER,160221.69,46613,3.4372747945852016
coco,PHL,10000.07,5019,1.9924427176728432
coco,PNG,42000,39400,1.0659898477157361
coco,SLB,5000,5376,0.9300595238095238
coco,SLE,15000,19700,0.7614213197969543
coco,SLV,392.13,190,2.063842105263158
coco,STP,3000,2600,1.1538461538461537
coco,SUR,4.48,5.93,0.7554806070826308
coco,TGO,8000,101500,0.07881773399014778
coco,THA,97.99,763,0.1284272608125819
coco,TLS,174.73,142.1,1.2296270232230824
coco,TON,0,0,0
coco,TTO,300,700,0.42857142857142855
coco,TWN,0,0,0
coco,TZA,14000,8000,1.75
coco,UGA,40000,15000,2.6666666666666665
coco,VCT,228.95,209.12,1.0948259372609028
coco,VEN,27222.08,20955,1.2990732522071105
coco,VNM,2000,0,0
coco,VUT,1485,1700,0.8735294117647059
coco,WSM,480.65,464.49,1.0347908458739692
cott,AFG,72885.79,33000,2.2086603030303027
cott,AGO,5456.87,3400,1.6049617647058823
cott,ALB,655.73,740.74,0.8852363852363853
cott,ARG,1040334,753502,1.3806652138945883
cott,ARM,0,0,0
cott,ATG,105.42,95,1.1096842105263158
cott,AUS,1228767.27,939000,1.3085913418530353
cott,AZE,287040.8,38216,7.5110110948293904
cott,BDI,1535.66,2500,0.614264
cott,BEN,766273,136958,5.5949488164254735
cott,BFA,755036.55,529620,1.425619406366829
cott,BGD,67000,43363,1.5450960496275628
cott,BGR,0,887,0
cott,BOL,2987.31,1400,2.1337928571428573
cott,BRA,5712308,2950013,1.9363670600773624
cott,BWA,848.98,1306.82,0.649653357004025
cott,CAF,24000,10456,2.295332823259373
cott,CHN,17366363,17910000,0.9696461753210497
cott,CIV,490249.95,174689,2.8064156873071573
cott,CMR,398675.44,190000,2.0982917894736843
cott,COD,29438.91,25500,1.1544670588235295
cott,COL,28950.13,89484.62,0.32352073462456454
cott,CRI,679.67,594.11,1.1440137348302502
cott,CUB,0,0,0
cott,CYP,0,0,0
cott,DOM,0,0,0
cott,DZA,82.85,62,1.336290322580645
cott,ECU,3989.82,3980,1.0024673366834171
cott,EGY,190000,377527,0.5032752624315612
cott,ESP,0,115088,0
cott,ETH,170000,58000,2.9310344827586206
cott,GEO,0,0,0
cott,GHA,28000,5500,5.090909090909091
cott,GIN,43620.07,37000,1.178920810810811
cott,GMB,543.27,580,0.9366724137931034
cott,GNB,5232.5,5600,0.934375
cott,GRC,0,710533,0
cott,GRD,51.56,46.76,1.1026518391787854
cott,GTM,2609.42,2985,0.874177554438861
cott,HND,3309.95,2850,1.1613859649122806
cott,HTI,964.56,1000,0.96456
cott,IDN,119.31,3147,0.037912297426120116
cott,IND,17204000,17760000,0.9686936936936937
cott,IRN,119913.13,167426.2,0.7162148457051525
cott,IRQ,3,45278,6.625734352224038e-5
cott,ISR,10243.3,18120,0.56530353200883
cott,ITA,0,0,0
cott,KAZ,290380.05,239850,1.2106735459662288
cott,KEN,9000,11822,0.7612925054982237
cott,KGZ,66899,74040,0.9035521339816316
cott,KHM,237.23,249.69,0.9500981216708718
cott,KNA,3.5,2.6,1.346153846153846
cott,KOR,0,0,0
cott,LAO,5296.6,5000,1.05932
cott,LKA,0,0,0
cott,MAR,220.24,218,1.0102752293577981
cott,MDG,14472.44,14000,1.0337457142857143
cott,MEX,812964.51,440490,1.8455912960566643
cott,MLI,731000,243582,3.0010427699912143
cott,MMR,241345.3,504600,0.4782903289734443
cott,MOZ,77742.23,62000,1.253906935483871
cott,MWI,66700,29165,2.286987827875879
cott,NAM,0,0,0
cott,NER,5600,3500,1.6
cott,NGA,273712.23,602440,0.45433940309408405
cott,NIC,6969.83,3010,2.315558139534884
cott,NPL,137.04,109,1.2572477064220182
cott,PAK,4096106,5613600,0.7296754310959099
cott,PER,17342.59,63758,0.27200649330280124
cott,PHL,83,107,0.7757009345794392
cott,PRK,39701.68,35170.75,1.1288266528294109
cott,PRY,29800,15054,1.9795403215092335
cott,ROU,0,0,0
cott,RWA,0,0,0
cott,SEN,22054.79,26044.91,0.8467984723310621
