"iso3c_consuming","iso3c_producing","SPAM_super","prop_of_supply","animal_system","diet","source_ingredient","consuming_ingredient_consumed_tonnes","raw_material","FAOSTAT_name","FAO_code","producing_ingredient_consumed_tonnes"
"AUS","LKA","soyb",3.49089675867524e-06,"salmon_aquaculture_meat","fish-dominant","soy protein concentrate",0,"soybean","Soya beans",236,0
"AUS","LKA","soyb",3.49089675867524e-06,"salmon_aquaculture_meat","fish-dominant","soybean meal",15926.60062,"soybean","Soya beans",236,0.055598118481073
"AUS","LKA","whea",0,"salmon_aquaculture_meat","plant-dominant","wheat",6089.58259,"wheat","Wheat",15,0
"AUS","LKA","whea",0,"salmon_aquaculture_meat","plant-dominant","wheat gluten",9181.216828,"wheat","Wheat",15,0
"AUS","LKA","whea",0,"salmon_aquaculture_meat","fish-dominant","wheat",6558.01202,"wheat","Wheat",15,0
"AUS","LKA","whea",0,"salmon_aquaculture_meat","fish-dominant","wheat gluten",12179.16518,"wheat","Wheat",15,0
"AUS","CHL","ooil",0.000156961208776222,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,0.191165648853807
"AUS","CHL","ooil",0.000156961208776222,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","CHL","rape",0.000102199953857308,"salmon_aquaculture_meat","plant-dominant","canola oil",17238.203024,"rapeseed","Rape or colza seed",270,1.76174355363571
"AUS","CHL","rape",0.000102199953857308,"salmon_aquaculture_meat","fish-dominant","canola oil",0,"rapeseed","Rape or colza seed",270,0
"AUS","CHN","cnut",3.46654224590714e-05,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,0.0032476608166424
"AUS","CHN","cnut",3.46654224590714e-05,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,0
"AUS","CHN","maiz",0.0164187684897001,"salmon_aquaculture_meat","plant-dominant","corn gluten meal",655.801202,"maize","Maize (corn)",56,10.767448110905
"AUS","CHN","maiz",0.0164187684897001,"salmon_aquaculture_meat","fish-dominant","corn gluten meal",3747.43544,"maize","Maize (corn)",56,61.5282749194573
"AUS","CHN","ooil",0.00581499365305371,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,7.08217682211927
"AUS","CHN","ooil",0.00581499365305371,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","CHN","opul",0.00270532437057397,"salmon_aquaculture_meat","plant-dominant","faba beans",3372.691896,"faba beans","Broad beans and horse beans, dry",181,9.12422558068613
"AUS","CHN","opul",0.00270532437057397,"salmon_aquaculture_meat","plant-dominant","guar meal",4028.493098,"guar","Other pulses n.e.c.",211,10.8983805547084
"AUS","CHN","opul",0.00270532437057397,"salmon_aquaculture_meat","plant-dominant","pea flour",2342.14715,"peas","Peas, dry; Peas, green",187,6.33626776436537
"AUS","CHN","opul",0.00270532437057397,"salmon_aquaculture_meat","plant-dominant","pea protein concentrate",1311.602404,"peas","Peas, dry; Peas, green",187,3.54830994804461
"AUS","CHN","opul",0.00270532437057397,"salmon_aquaculture_meat","fish-dominant","faba beans",1873.71772,"faba beans","Broad beans and horse beans, dry",181,5.06901421149229
"AUS","CHN","opul",0.00270532437057397,"salmon_aquaculture_meat","fish-dominant","guar meal",0,"guar","Other pulses n.e.c.",211,0
"AUS","CHN","opul",0.00270532437057397,"salmon_aquaculture_meat","fish-dominant","pea flour",0,"peas","Peas, dry; Peas, green",187,0
"AUS","CHN","opul",0.00270532437057397,"salmon_aquaculture_meat","fish-dominant","pea protein concentrate",0,"peas","Peas, dry; Peas, green",187,0
"AUS","CHN","rape",2.82394609342562e-05,"salmon_aquaculture_meat","plant-dominant","canola oil",17238.203024,"rapeseed","Rape or colza seed",270,0.486797560873025
"AUS","CHN","rape",2.82394609342562e-05,"salmon_aquaculture_meat","fish-dominant","canola oil",0,"rapeseed","Rape or colza seed",270,0
