"allocation","diet","fcr","spp_type","ingredient_raw_material","med_ad","mean_ad","global_mean","lower_med_ad","upper_med_ad","lower_mean_ad","upper_mean_ad","range_med_ad","range_mean_ad"
"ge","plant-dominant","regular","Amphibians","trimmings fish_fish oil, cut offs",0.0000000339354363169454,0.0000000535033979108199,0.0000000359093859873318,0.00000000197394967038633,0.0000000698448223042772,-0.0000000175940119234881,0.0000000894127838981516,0.0000000678708726338909,0.00000010700679582164
"ge","plant-dominant","regular","Amphibians","trimmings fish_fish meal, cut offs",0.00000000897872147843208,0.000000012626690295692,0.00000000985486041760856,0.000000000876138939176485,0.0000000188335818960406,-0.00000000277182987808341,0.0000000224815507133005,0.0000000179574429568642,0.0000000252533805913839
"ge","plant-dominant","regular","Amphibians","forage fish_fish oil",0.000000124070440342928,0.000000157286289183291,0.000000141192786550471,0.0000000171223462075432,0.000000265263226893398,-0.0000000160935026328204,0.000000298479075733762,0.000000248140880685855,0.000000314572578366582
"ge","plant-dominant","regular","Amphibians","forage fish_fish meal",0.0000000396507986444306,0.0000000507301681516098,0.0000000544569054710106,0.00000001480610682658,0.0000000941077041154411,0.00000000372673731940082,0.00000010518707362262,0.0000000793015972888611,0.00000010146033630322
"ge","plant-dominant","regular","Bird","Sunflower_sunflower meal",0.00000219039384906779,0.00000378073444985555,0.00000220420715068145,0.0000000138133016136521,0.00000439460099974924,-0.0000015765272991741,0.00000598494160053699,0.00000438078769813559,0.0000075614688997111
"ge","plant-dominant","regular","Bird","Rapeseed_canola oil",0.0000247542613599086,0.0000433415189293274,0.0000247625179686386,0.00000000825660873005063,0.0000495167793285472,-0.0000185790009606887,0.000068104036897966,0.0000495085227198171,0.0000866830378586547
"ge","plant-dominant","regular","Bird","Soybean_soy protein concentrate",0.0000151737861969007,0.0000236991701177172,0.0000152753172897672,0.00000010153109286648,0.0000304491034866679,-0.00000842385282794998,0.0000389744874074843,0.0000303475723938014,0.0000473983402354343
"ge","plant-dominant","regular","Bird","Soybean_soy oil",0.000000472943541049691,0.000000738264227592076,0.00000047616978254587,0.00000000322624149617923,0.000000949113323595561,-0.000000262094445046206,0.00000121443401013795,0.000000945887082099381,0.00000147652845518415
"ge","plant-dominant","regular","Bird","Wheat_wheat gluten",0.00000351536246142724,0.00000576306800951221,0.00000351619415480808,0.000000000831693380831666,0.00000703155661623532,-0.00000224687385470413,0.00000927926216432028,0.00000703072492285449,0.0000115261360190244
"ge","plant-dominant","regular","Bird","Wheat_wheat",0.00000209252486329713,0.00000343023860684849,0.00000209302222111872,0.00000000049735782159388,0.00000418554708441585,-0.00000133721638572977,0.00000552326082796722,0.00000418504972659426,0.00000686047721369699
"ge","plant-dominant","regular","Bird","Pulses_pea protein concentrate",0.000000829113057879443,0.00000136516314551271,0.000000832793441988028,0.00000000368038410858418,0.00000166190649986747,-0.000000532369703524679,0.00000219795658750073,0.00000165822611575889,0.00000273032629102541
"ge","plant-dominant","regular","Bird","Pulses_pea flour",0.00000116493551934333,0.00000191815337008588,0.00000117010325980111,0.00000000516774045777879,0.00000233503877914443,-0.000000748050110284771,0.00000308825662988698,0.00000232987103868665,0.00000383630674017175
"ge","plant-dominant","regular","Bird","Pulses_guar meal",0.00000181444841007237,0.00000298775724318269,0.00000182248636748315,0.00000000803795741077806,0.00000363693477755552,-0.00000116527087569954,0.00000481024361066583,0.00000362889682014474,0.00000597551448636537
"ge","plant-dominant","regular","Bird","CropsNES_linseed oil",0.000000938725030275883,0.0000015850014627011,0.000000947159047316198,0.00000000843401704031521,0.00000188588407759208,-0.000000637842415384906,0.0000025321605100173,0.00000187745006055177,0.00000317000292540221
"ge","plant-dominant","regular","Bird","CropsNES_coconut oil",0.0000000897007202841532,0.000000151352139257248,0.0000000905402710463971,0.000000000839550762243846,0.00000018024099133055,-0.0000000608118682108505,0.000000241892410303645,0.000000179401440568306,0.000000302704278514495
"ge","plant-dominant","regular","Bird","Pulses_faba beans",0.00000142581365098162,0.00000234775105941868,0.00000143213606113259,0.00000000632241015097179,0.00000285794971211421,-0.000000915614998286085,0.00000377988712055127,0.00000285162730196324,0.00000469550211883735
"ge","plant-dominant","regular","Bird","Maize_corn gluten meal",0.000000101101944792994,0.000000173023268982048,0.000000101106465843195,0.00000000000452105020087856,0.000000202208410636188,-0.0000000719168031388531,0.000000274129734825242,0.000000202203889585988,0.000000346046537964096
"ge","plant-dominant","regular","Bird","trimmings fish_fish oil, cut offs",0.000000474117522849782,0.000000825969100344883,0.000000474381280199077,0.000000000263757349294735,0.000000948498803048859,-0.000000351587820145806,0.00000130035038054396,0.000000948235045699564,0.00000165193820068977
"ge","plant-dominant","regular","Bird","trimmings fish_fish meal, cut offs",0.000000146017169034044,0.000000258341384839734,0.000000146431498826741,0.000000000414329792697288,0.000000292448667860785,-0.000000111909886012993,0.000000404772883666476,0.000000292034338068088,0.000000516682769679468
"ge","plant-dominant","regular","Bird","forage fish_fish oil",0.0000000428616530080157,0.0000000655870834935451,0.0000000430155520959337,0.000000000153899087917964,0.0000000858772051039494,-0.0000000225715313976114,0.000000108602635589479,0.0000000857233060160314,0.00000013117416698709
"ge","plant-dominant","regular","Bird","forage fish_fish meal",0.0000000163994161638734,0.0000000265531585005056,0.0000000165676700191661,0.000000000168253855292733,0.0000000329670861830395,-0.00000000998548848133949,0.0000000431208285196717,0.0000000327988323277468,0.0000000531063170010112
"ge","plant-dominant","regular","Marine mammal","trimmings fish_fish oil, cut offs",0.000000430738946240826,0.000000626659187099284,0.00000043112144874272,0.000000000382502501894422,0.000000861860394983546,-0.000000195537738356564,0.000001057780635842,0.000000861477892481651,0.00000125331837419857
"ge","plant-dominant","regular","Marine mammal","trimmings fish_fish meal, cut offs",0.000000197738100248866,0.000000294011062871487,0.000000197987092242556,0.000000000248991993689884,0.000000395725192491421,-0.000000096023970628931,0.000000491998155114042,0.000000395476200497731,0.000000588022125742973
