GAEZ_category,iso3c,late,early,coef
Barley,CZE,1761123.3333333333,1934572.6666666667,0.9103423012627422
Barley,DEU,10923933.333333334,11307733.333333334,0.9660586265446656
Barley,DNK,3747743.3333333335,3784400,0.9903137441426206
Barley,DZA,1138749,963288,1.1821480180382191
Barley,ECU,14079.31,16276.99,0.864982407681027
Barley,EGY,106271.64666666667,100888.33333333333,1.0533591264269078
Barley,ERI,65000,65000,1
Barley,ESP,9495140,7621458,1.2458429869980259
Barley,EST,493543.3333333333,457362.3333333333,1.0791079574400166
Barley,ETH,2329758.27,2112058.1433333335,1.1030748738399234
Barley,FIN,1381810,1668166.6666666667,0.8283404935557998
Barley,FRA,11720103.333333334,11755339.633333333,0.9970025281192146
Barley,GBR,7708666.666666667,6978666.666666667,1.1046045089797478
Barley,GEO,52333.333333333336,38266.666666666664,1.3675958188153312
Barley,GGY,7708666.666666667,6978666.666666667,1.1046045089797478
Barley,GRC,365743.3333333333,438386.12666666665,0.8342949538898882
Barley,GTM,18.14,18.14,1
Barley,HRV,304630,210736,1.4455527294814365
Barley,HUN,1526280,1425835.3333333333,1.0704461899059874
Barley,IND,1671633.3333333333,1627666.6666666667,1.0270120827360227
Barley,IRL,1444490,1650100,0.8753954305799648
Barley,IRN,3118307.85,3293806.466666667,0.9467186009734593
Barley,IRQ,1180417.3333333333,758746.6666666666,1.5557463184901417
Barley,ISL,7559,6013,1.257109595875603
Barley,ISR,12026.666666666666,15083.333333333334,0.7973480662983424
Barley,ITA,1106896.6666666667,929852.4,1.1904003975971527
Barley,JOR,62744.333333333336,39096,1.6048785894550168
Barley,JPN,226400,172333.33333333334,1.313733075435203
Barley,KAZ,3285378,2772753,1.1848794321023186
Barley,KEN,51283.653333333335,59599.333333333336,0.8604736070873276
Barley,KGZ,416717.8666666667,327513.6,1.272368129649171
Barley,KOR,107945,79389.66666666667,1.3596857693486557
Barley,KWT,5532.566666666667,3456.6666666666665,1.600549662487946
Barley,LBN,30666.666666666668,39630.46,0.7738155617337439
Barley,LBY,70000,90000,0.7777777777777778
Barley,LSO,481.03,484.56666666666666,0.9927013826786819
Barley,LTU,598256.6666666666,791730.3333333334,0.7556318628691334
Barley,LUX,32703.333333333332,41446.333333333336,0.7890525096711409
Barley,LVA,276666.6666666667,362366.6666666667,0.7634992181032104
Barley,MAR,1528853.5066666666,1884999.0333333332,0.811063284188068
Barley,MDA,176074.33333333334,218380,0.8062749946576305
Barley,MEX,953729.2933333333,852962.4099999999,1.1181375429350204
Barley,MKD,145866.33333333334,133188,1.0951912584717343
Barley,MLT,0,2169.0333333333333,0
Barley,MMR,0,0,1
Barley,MNE,975.87,1055.6,0.9244694960212202
Barley,MNG,5811.306666666667,5824.7,0.9977005968833875
Barley,MRT,1438.4433333333334,1420,1.0129882629107982
Barley,NLD,228383.33333333334,220796.33333333334,1.034361983668207
Barley,NOR,604266.6666666666,557633.3333333334,1.0836272341443
Barley,NPL,30376.556666666667,34992.97,0.868075978308405
Barley,NZL,348791.3333333333,402359,0.8668659911505231
Barley,OMN,2677.6666666666665,2056.3333333333335,1.302155940995299
Barley,PAK,47913.333333333336,63248,0.7575470107091661
Barley,PER,211188.80666666667,221258.80666666667,0.954487687284824
Barley,POL,3073856.6666666665,3225526,0.9529784186103806
Barley,PRK,54595.403333333335,13066.666666666666,4.178219642857143
Barley,PRT,61106.666666666664,42977,1.4218457934864384
Barley,PSE,20135.5,19626.666666666668,1.0259256114130435
Barley,QAT,203.2,751.2666666666667,0.2704765285295945
Barley,ROU,1667330,1718702.6666666667,0.9701096253220451
Barley,RUS,19807996.266666666,18652524.7,1.061947194026054
Barley,RWA,0,0,1
Barley,SAU,479163.59,640979.6666666666,0.7475488146009832
Barley,SDN,0,0,1
Barley,SVK,623900,643032.8333333334,0.9702459464874396
Barley,SVN,114596.66666666667,91509,1.2522994095298459
Barley,SWE,1373466.6666666667,1592300,0.862567774079424
Barley,SYR,1850413.7433333334,1056488.9166666667,1.7514748277450773
Barley,THA,158984.23,120000,1.3248685833333333
Barley,TJK,167413.16666666666,131209,1.2759274643253637
Barley,TKM,17885.856666666667,26666.666666666668,0.6707196249999999
Barley,TUN,602700,488150.3333333333,1.2346606339167374
Barley,TUR,7216666.666666667,7000000,1.030952380952381
Barley,TWN,0,0,1
Barley,TZA,20356.283333333333,13848.273333333333,1.469951007129168
Barley,UKR,8663380,8923383.333333334,0.9708626959505269
