iso3c_producing,product,animal_system,SPAM_super,prop_produced_for_system,prop_extra_for_system,total_prop
BES,pea protein,salmon_aquaculture_meat,xpul,0,0,0
BFA,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
BFA,maize gluten,salmon_aquaculture_meat,maiz,6.678949189958095e-11,-4.7859555346135817e-23,6.678949189953309e-11
BFA,oil of soya bean,salmon_aquaculture_meat,soyb,5.817412921713952e-6,1.6339352892789725e-8,5.833752274606742e-6
BFA,soy protein concentrate,salmon_aquaculture_meat,soyb,3.3504662545996293e-4,1.2359234666194802e-6,3.362825489265824e-4
BFA,wheat,salmon_aquaculture_meat,whea,0,0,0
BFA,wheat gluten,salmon_aquaculture_meat,whea,0,0,0
BFA,cake of sunflower seed,salmon_aquaculture_meat,xoil,2.4527137431586702e-08,3.8103664233515926e-7,4.0556377976674596e-7
BFA,oil of linseed,salmon_aquaculture_meat,xoil,8.421081999320282e-9,2.3173957904659725e-23,8.421081999320305e-9
BFA,oil of rapeseed,salmon_aquaculture_meat,xoil,1.1919069906730248e-7,4.612771852348947e-5,4.624690922255677e-5
BFA,faba bean,salmon_aquaculture_meat,xpul,0,2.46853402285498e-5,2.46853402285498e-5
BFA,guar protein,salmon_aquaculture_meat,xpul,0,3.883178256864032e-5,3.883178256864032e-5
BFA,pea other,salmon_aquaculture_meat,xpul,0,1.6337439625033496e-5,1.6337439625033496e-5
BFA,pea protein,salmon_aquaculture_meat,xpul,0,5.7006249619361505e-6,5.7006249619361505e-6
BGD,oil of coconuts,salmon_aquaculture_meat,cnut,1.642841088172397e-5,-9.841923673308683e-22,1.642841088172397e-5
BGD,maize gluten,salmon_aquaculture_meat,maiz,3.772981036717428e-9,-4.785955516875914e-23,3.77298103671738e-9
BGD,oil of soya bean,salmon_aquaculture_meat,soyb,2.837936761628566e-9,1.633944789973502e-8,1.9177384661363587e-8
BGD,soy protein concentrate,salmon_aquaculture_meat,soyb,1.6344742036504524e-7,1.2363374953167133e-6,1.3997849156817585e-6
BGD,wheat,salmon_aquaculture_meat,whea,6.5739756061049515e-6,1.9793809792724984e-9,6.575954987084224e-6
BGD,wheat gluten,salmon_aquaculture_meat,whea,1.0011648941698295e-5,7.0765766309379985e-9,1.0018725518329233e-5
BGD,cake of sunflower seed,salmon_aquaculture_meat,xoil,4.779899191168559e-6,3.8103483036411444e-7,5.160934021532673e-6
BGD,oil of linseed,salmon_aquaculture_meat,xoil,1.6411178495488686e-6,2.317392006861324e-23,1.6411178495488686e-6
BGD,oil of rapeseed,salmon_aquaculture_meat,xoil,2.3228129562845528e-5,4.612665256073514e-5,6.935478212358068e-5
BGD,faba bean,salmon_aquaculture_meat,xpul,8.107763597090489e-7,2.4685320214259512e-5,2.549609657396856e-5
BGD,guar protein,salmon_aquaculture_meat,xpul,1.10048558925155e-6,3.88317398348232e-5,3.993222542407475e-5
BGD,pea other,salmon_aquaculture_meat,xpul,6.398172030532267e-7,1.6337429172058568e-5,1.6977246375111797e-5
BGD,pea protein,salmon_aquaculture_meat,xpul,3.58297633709807e-7,5.700622919415715e-6,6.058920553125522e-6
BGR,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
BGR,maize gluten,salmon_aquaculture_meat,maiz,3.956214105741505e-5,-4.7857661922852665e-23,3.956214105741505e-5
BGR,oil of soya bean,salmon_aquaculture_meat,soyb,1.0392024251866816e-7,1.6339446248105947e-8,1.202596887667741e-7
