iso3c_producing,diet,source_ingredient,SPAM_super.x,GAEZ_category,prop_produced_for_system_ms,prop_produced_for_system_ge,prop_produced_for_system_econ,SPAM_super.y,prop_extra_for_system_ms,prop_extra_for_system_ge,prop_extra_for_system_econ,total_prop_ms,total_prop_ge,total_prop_econ
XKO,fish-dominant,wheat,whea,Wheat,5.75917473951202e-9,5.75917473951202e-9,5.75917473951202e-9,whea,8.860656866804227e-22,8.860927132635517e-22,8.86433696040298e-22,5.759174739512906e-9,5.759174739512906e-9,5.7591747395129065e-9
XKO,fish-dominant,wheat gluten,whea,Wheat,1.0695610230522369e-8,1.1917157295783012e-8,2.7322493007630092e-8,whea,8.868834739084831e-22,-3.699158578034865e-21,-2.19412704859286e-4,1.0695610230523256e-8,1.1917157295779313e-8,-2.1938538236627837e-4
XKO,plant-dominant,canola oil,rape,Rapeseed,2.0271264937542027e-7,3.194646364034672e-7,3.3970410285870496e-7,rape,0.0029617316349232806,0.006122678068674096,0.0057283419060269345,0.002961934347572656,0.0061229975333105,0.005728681610129793
XKO,plant-dominant,coconut oil,cnut,CropsNES,6.839043528931755e-13,1.3907978390926846e-12,2.4646654064421897e-12,cnut,-6.808329096272213e-24,-4.3664631414827624e-23,-6.367449425942172e-6,6.839043528863672e-13,1.39079783904902e-12,-6.367446961276765e-6
XKO,plant-dominant,corn gluten meal,maiz,Maize,4.7827759373721496e-11,6.021636191080622e-11,2.5309780803913896e-11,maiz,1.6527238648993423e-7,2.1317548275480387e-7,6.79791820893776e-6,1.6532021424930796e-7,2.132356991167147e-7,6.797943518718564e-6
XKO,plant-dominant,linseed oil,ooil,CropsNES,9.10629008064429e-12,1.469159929938685e-11,1.3339722757360283e-11,ooil,-4.931103391201221e-24,2.617274514740181e-21,8.016408056577776e-6,9.10629008063936e-12,1.4691599302004125e-11,8.016421396300533e-6
XKO,plant-dominant,soy oil,soyb,Soybean,1.3596349684100227e-6,2.3043433020319067e-6,2.248418330115434e-6,soyb,5.377201699736796e-22,-7.533582343219018e-22,5.818473288001151e-7,1.3596349684100233e-6,2.304343302031906e-6,2.830265658915549e-6
XKO,plant-dominant,soy protein concentrate,soyb,Soybean,8.59827845624006e-5,7.413488995282429e-5,7.548145140226121e-5,soyb,1.0674629895679428e-6,8.970022447706116e-7,-1.3092288993599573e-5,8.705024755196855e-5,7.50318921975949e-5,6.238916240866163e-5
XKO,plant-dominant,sunflower meal,sunf,Sunflower,1.0939210350496257e-4,5.8637069650836044e-5,4.537433746924971e-5,sunf,2.6341081940625825e-5,8.960283491450857e-6,4.2009088216161223e-4,1.357331854455884e-4,6.75973531422869e-5,4.654652196308619e-4
XKO,plant-dominant,wheat,whea,Wheat,5.3478051152611846e-9,5.3478051152611846e-9,5.3478051152611846e-9,whea,-2.0681115222268035e-21,-2.0681746033152777e-21,-2.068970470280979e-21,5.347805115259117e-9,5.347805115259117e-9,5.347805115259116e-9
XKO,plant-dominant,wheat gluten,whea,Wheat,8.062844635316836e-9,8.983703192205629e-9,2.0596956267290403e-8,whea,3.000906197519116e-22,1.777869015835981e-21,-1.6540342477558098e-4,8.062844635317136e-9,8.983703192207407e-9,-1.653828278193137e-4
XMI,fish-dominant,corn gluten meal,maiz,Maize,2.733014821355517e-10,3.4409349663317786e-10,1.4462731887950817e-10,maiz,1.03705233010513e-6,1.310785762292271e-6,3.893788295469809e-5,1.0373256315872656e-6,1.3111298557889043e-6,3.8938027582016964e-5
XMI,fish-dominant,wheat,whea,Wheat,5.759174739512036e-9,5.759174739512036e-9,5.759174739512036e-9,whea,8.860656866804225e-22,8.860927132635515e-22,8.86433696040298e-22,5.759174739512922e-9,5.759174739512922e-9,5.759174739512923e-9
XMI,fish-dominant,wheat gluten,whea,Wheat,1.0695610230522351e-8,1.1917157295783004e-8,2.7322493007630086e-8,whea,8.86883473908483e-22,-3.699158578034866e-21,-2.1941270485928598e-4,1.0695610230523238e-8,1.1917157295779305e-8,-2.1938538236627834e-4
XMI,plant-dominant,coconut oil,cnut,CropsNES,6.839043528931799e-13,1.3907978390926854e-12,2.4646654064421872e-12,cnut,-6.808329096272213e-24,-4.3664631414827624e-23,-6.367449425942172e-6,6.839043528863717e-13,1.3907978390490208e-12,-6.367446961276765e-6
XMI,plant-dominant,corn gluten meal,maiz,Maize,4.782775937372155e-11,6.021636191080623e-11,2.5309780803913957e-11,maiz,1.6527238648993423e-7,2.131754827548039e-7,6.797918208937761e-6,1.6532021424930796e-7,2.1323569911671472e-7,6.797943518718565e-6
XMI,plant-dominant,linseed oil,ooil,CropsNES,9.106290080644284e-12,1.4691599299386903e-11,1.3339722757360268e-11,ooil,-4.93110339120122e-24,2.6172745147401806e-21,8.016408056577776e-6,9.106290080639354e-12,1.4691599302004177e-11,8.016421396300533e-6
XMI,plant-dominant,sunflower meal,sunf,Sunflower,1.0939210350496253e-4,5.863706965083625e-5,4.537433746924967e-5,sunf,2.6341081940625825e-5,8.960283491450857e-6,4.200908821616122e-4,1.3573318544558835e-4,6.759735314228711e-5,4.6546521963086187e-4
