iso3c_producing,diet,product,animal_system,SPAM_super,prop_produced_for_system,prop_extra_for_system,total_prop
ARE,plant-dominant,wheat gluten,salmon_aquaculture_meat,whea,1.05,0,1.05
ARE,plant-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
ARE,plant-dominant,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
ARE,plant-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
ARE,plant-dominant,faba bean,salmon_aquaculture_meat,xpul,0,0,0
ARE,plant-dominant,guar protein,salmon_aquaculture_meat,xpul,0,0,0
ARE,plant-dominant,pea other,salmon_aquaculture_meat,xpul,0,0,0
ARE,plant-dominant,pea protein,salmon_aquaculture_meat,xpul,0,0,0
ARG,fish-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ARG,fish-dominant,maize gluten,salmon_aquaculture_meat,maiz,6.175415306735834e-4,-1.5956968958523386e-22,6.175415306735834e-4
ARG,fish-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
ARG,fish-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
ARG,fish-dominant,soybean meal,salmon_aquaculture_meat,soyb,0.002919265838094293,3.906298887789942e-7,0.002919656467983072
ARG,fish-dominant,wheat,salmon_aquaculture_meat,whea,0.0013578478431606558,1.3628135154464315e-9,0.0013578492059741713
ARG,fish-dominant,wheat gluten,salmon_aquaculture_meat,whea,0.00254718931617439,5.947056276291588e-9,0.0025471952632306664
ARG,fish-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
ARG,fish-dominant,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
ARG,fish-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
ARG,fish-dominant,faba bean,salmon_aquaculture_meat,xpul,0.012833763337478642,3.884334631977446e-6,0.01283764767211062
ARG,fish-dominant,guar protein,salmon_aquaculture_meat,xpul,0,0,0
ARG,fish-dominant,pea other,salmon_aquaculture_meat,xpul,0,0,0
ARG,fish-dominant,pea protein,salmon_aquaculture_meat,xpul,0,0,0
ARG,plant-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ARG,plant-dominant,maize gluten,salmon_aquaculture_meat,maiz,1.0806976786787711e-4,-2.3928641417720414e-23,1.0806976786787711e-4
ARG,plant-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,6.231543814488726e-5,6.533123539686612e-9,6.232197126842695e-5
