iso3c_producing,diet,fcr_type,source_ingredient,FAOSTAT_name,FAO_code,total_crop_demand_ms,total_crop_demand_ge,total_crop_demand_econ,GAEZ_category,SPAM_super,tonnes_producing_crop,prop_produced_for_system_ms,prop_produced_for_system_ge,prop_produced_for_system_econ
ARE,fish-dominant,efficient,wheat,Wheat,15,1.2886232597349335e-7,1.2886232597349335e-7,1.2886232597349335e-7,Wheat,whea,24.861263751983643,5.183257265560831e-9,5.183257265560831e-9,5.183257265560831e-9
ARE,fish-dominant,efficient,wheat gluten,Wheat,15,2.3931574823648766e-7,2.666480316339035e-7,6.113445345219787e-7,Wheat,whea,24.861263751983643,9.626049207470116e-9,1.0725441566204698e-8,2.4590243706867092e-8
ARE,fish-dominant,regular,wheat,Wheat,15,1.4318036219277038e-7,1.4318036219277038e-7,1.4318036219277038e-7,Wheat,whea,24.861263751983643,5.759174739512035e-9,5.759174739512035e-9,5.759174739512035e-9
ARE,fish-dominant,regular,wheat gluten,Wheat,15,2.6590638692943077e-7,2.9627559070433727e-7,6.792717050244209e-7,Wheat,whea,24.861263751983643,1.0695610230522353e-8,1.1917157295782999e-8,2.7322493007630106e-8
ARE,plant-dominant,efficient,coconut oil,"Coconuts, in shell",249,0.019564913908154707,0.03978749348557837,0.07050834855116137,CropsNES,cnut,403981.90587234497,4.8430173786885055e-8,9.848830580583204e-8,1.7453343213208523e-7
ARE,plant-dominant,efficient,linseed oil,Linseed,333,0.26050979306797517,0.42029250764325393,0.3816184620003025,CropsNES,ooil,403981.90587234497,6.448551018774939e-7,1.0403745849351554e-6,9.446424615880962e-7
ARE,plant-dominant,efficient,wheat,Wheat,15,1.1965787411824383e-7,1.1965787411824383e-7,1.1965787411824383e-7,Wheat,whea,24.861263751983643,4.813024603735058e-9,4.813024603735058e-9,4.813024603735058e-9
ARE,plant-dominant,efficient,wheat gluten,Wheat,15,1.8040725636289074e-7,2.0101159307786573e-7,4.6085972602426095e-7,Wheat,whea,24.861263751983643,7.256560171785166e-9,8.08533287298508e-9,1.853726064056135e-8
ARE,plant-dominant,regular,coconut oil,"Coconuts, in shell",249,0.02173879323128301,0.044208326095087076,0.0783426095012904,CropsNES,cnut,403981.90587234497,5.381130420765006e-8,1.0943145089536894e-7,1.9392603570231692e-7
ARE,plant-dominant,regular,linseed oil,Linseed,333,0.28945532563108345,0.466991675159171,0.4240205133336694,CropsNES,ooil,403981.90587234497,7.165056687527708e-7,1.1559717610390615e-6,1.0496027350978846e-6
ARE,plant-dominant,regular,wheat,Wheat,15,1.3295319346471536e-7,1.3295319346471536e-7,1.3295319346471536e-7,Wheat,whea,24.861263751983643,5.3478051152611755e-9,5.3478051152611755e-9,5.3478051152611755e-9
