Athene noctua
Athene superciliaris
Atherurus africanus
Atherurus macrourus
Atilax paludinosus
Atimastillas flavicollis
Atimastillas flavigula
Atlantoxerus getulus
Atlapetes albiceps
Atlapetes albinucha
Atlapetes albofrenatus
Atlapetes blancae
Atlapetes canigenis
Atlapetes citrinellus
Atlapetes crassus
Atlapetes flaviceps
Atlapetes forbesi
Atlapetes fulviceps
Atlapetes fuscoolivaceus
Atlapetes latinuchus
Atlapetes leucopis
Atlapetes leucopterus
Atlapetes melanocephalus
Atlapetes melanolaemus
Atlapetes melanopsis
Atlapetes meridae
Atlapetes nationi
Atlapetes nigrifrons
Atlapetes pallidinucha
Atlapetes paynteri
Atlapetes personatus
Atlapetes pileatus
Atlapetes rufigenis
Atlapetes rufinucha
Atlapetes schistaceus
Atlapetes seebohmi
Atlapetes semirufus
Atlapetes taczanowskii
Atlapetes terborghi
Atlapetes tricolor
Atopogale cubana
Atrichornis clamosus
Atrichornis rufescens
Atronanus fuliginosus
Attagis gayi
Attagis malouinus
Atthis ellioti
Atthis heloisa
Atticora fasciata
Atticora pileata
Atticora tibialis
Attila bolivianus
Attila cinnamomeus
Attila citriniventris
Attila phoenicurus
Attila rufus
Attila spadiceus
Attila torridus
Augastes lumachella
Augastes scutatus
Aulacorhynchus albivitta
Aulacorhynchus atrogularis
Aulacorhynchus caeruleogularis
Aulacorhynchus calorhynchus
Aulacorhynchus coeruleicinctis
Aulacorhynchus cyanolaemus
Aulacorhynchus derbianus
Aulacorhynchus haematopygus
Aulacorhynchus huallagae
Aulacorhynchus prasinus
Aulacorhynchus sulcatus
Aulacorhynchus wagleri
Aulacorhynchus whitelianus
Auliscomys boliviensis
Auliscomys pictus
Auliscomys sublimis
Auriparus flaviceps
Austronomus australis
Austronomus kuboriensis
Automolus infuscatus
Automolus lammi
Automolus leucophthalmus
Automolus melanopezus
Automolus ochrolaemus
Automolus paraensis
Automolus rufipileatus
Automolus subulatus
Automolus virgatus
Avahi betsileo
Avahi cleesei
Avahi laniger
Avahi meridionalis
Avahi mooreorum
Avahi occidentalis
Avahi peyrierasi
Avahi ramanantsoavanai
Avahi unicolor
Aviceda cuculoides
Aviceda jerdoni
Aviceda leuphotes
